Source,Target
SP1,ABCA1
SP1,ACTC
SP1,BMP2
SP1,CAV1
SP1,CD151
SP1,CRYAB
SP1,DCK
SP1,DLK1
SP1,EDNRB
SP1,EPO
SP1,FBLN1
SP1,FGFR1
SP1,HBEGF
SP1,HMGA1
SP1,HSPB1
SP1,ID4
SP1,IGF2
SP1,LAMA1
SP1,LDHA
SP1,LEF1
SP1,LIPE
SP1,LOXL4
SP1,MBP
SP1,MMP11
SP1,MMRN1
SP1,MYCN
SP1,NCAM1
SP1,PDGFA
SP1,PDGFB
SP1,PSIP1
SP1,PTX3
SP1,SGK1
SP1,SOX9
SP1,TFPI2
SP1,VEGFA
SP1,ABCG2
SP1,ASPN
SP1,BTK
SP1,CCL20
SP1,CD22
SP1,CD2AP
SP1,CD83
SP1,CD9
SP1,CERS2
SP1,EVPL
SP1,FGFR3
SP1,GPR39
SP1,MUC2
SP1,MUC4
SP1,MUC5B
SP1,NOS1
HMGA1,TP53
HMGA1,TWIST1
TWIST1,DKK1
SOX10,MITF
PITX1,IFNA1
IFNA1,STAT1
IFNA1,STAT2
PITX1,JUN
PITX1,NKX3-1
NKX3-1,VEGFA
PITX1,RUNX1
RUNX1,BPI
RUNX1,FHL2
RUNX1,NCAM1
RUNX1,VEGFA
RUNX1,KLF4
PITX1,RUNX2
SATB1,GATA3
GATA3,EPO
GATA3,FOXC2
GATA3,MYCN
GATA3,MUC1
SATB1,IL4
SATB1,IL5
SATB1,SPI1
SPI1,BPI
SPI1,BTK
SPI1,CD22
SPI1,NCF1
NR0B1,NOS1
NR0B1,ESRRG
ESRRG,NR0B1
NR0B1,HNF4A
NR0B1,NR1H4
NR1H4,PLTP
NR1H4,VEGFA
NR0B1,NR5A1
NFIL3,IFNG
NFIL3,IL1B
NFIL3,PGR
PGR,IHH
PGR,VEGFA
PGR,ABCG2
BMP2,SMAD1
HEY1,GATA4
GATA4,BMP4
GATA4,FGF10
GATA4,FGF3
HEY1,GATA6
GATA6,CAV1
GATA6,DKK1
GATA6,ABCA3
SOX4,NCAM1
SOX4,NKX3-1
MAF,IL4
MAF,IL5
MAF,MAFF
MAFF,MAF
FOXF2,BAMBI
FOXF2,PDGFA
FOXL2,SIRT1
SIRT1,TBX3
HIC1,ATOH1
ATOH1,MUC2
HIC1,SIRT1
FHL2,NFKB1
NFKB1,ABCA1
NFKB1,BMP2
NFKB1,EPO
NFKB1,FYN
NFKB1,HBEGF
NFKB1,ID1
NFKB1,IL8
NFKB1,LIPE
NFKB1,NCAM1
NFKB1,PDGFA
NFKB1,PDGFB
NFKB1,PTX3
NFKB1,TFPI2
NFKB1,VCAM1
NFKB1,VEGFA
NFKB1,VEGFC
NFKB1,ABCG2
NFKB1,CCL20
NFKB1,CD22
NFKB1,CD3G
NFKB1,CD83
NFKB1,CEBPA
NFKB1,ELF3
NFKB1,IRF1
NFKB1,MUC17
NFKB1,MUC2
NFKB1,MUC5B
NFKB1,NOS1
NFKB1,OLFM4
NFKB1,SYTL1
FHL2,RELA
RELA,ABCA1
RELA,BMP2
RELA,BNIP3
RELA,HBEGF
RELA,IL8
RELA,LIPE
RELA,NCAM1
RELA,PTX3
RELA,VCAM1
RELA,VEGFA
RELA,ABCG2
RELA,CCL20
RELA,CD83
RELA,ELF3
RELA,IRF1
RELA,MUC17
RELA,MUC2
RELA,MUC5B
RELA,NOS1
RELA,OLFM4
LYL1,STMN1
LYL1,ERG
ERG,WNT11
LYL1,NFKB1
ISL1,MEF2C
MEF2C,VEGFA
SHH,GLI
SHH,GLI3
GLI3,FOXA2
GLI3,SHH
HEY2,GATA4
HEY2,GATA6
BMP7,HOXA1
HOXA1,LYL1
HOXA1,NCAM1
BMP7,SMAD5
SMAD5,HEY1
SMAD5,ID1
BMP4,SMAD1
BMP4,SMAD5
BMP2,SMAD5
LMO3,ASCL1
ASCL1,DKK1
ASCL1,IGF2
ID4,BRCA1
ID4,ESR1
PDGFA,EGR1
EGR1,ACE
EGR1,DLK1
EGR1,IGF2
EGR1,PDGFA
EGR1,PDGFB
EGR1,STMN1
EGR1,TFPI2
EGR1,VEGFA
