geneName	LogFC	pvalue
HOX71	1.4807606493552992	2.0050923207674678e-78
GLCNE	0.7940610163948619	7.885791586320549e-9
PEPL	-0.928882277260773	4.152196426978003e-49
CXB6	-0.8424934320150572	5.16550205262602e-29
CALRL	1.9093712626476322	4.520823311563185e-6
BEST2	-1.3038010530670079	4.8695538704060265e-4
THSD1	2.1839431297895686	4.024957880054901e-5
F167A	1.0058621428786672	1.4347724236019293e-20
SOX14	-0.7805569946485275	1.8459001281434852e-43
S17AB	2.056677886811303	4.743845202487823e-6
PCDGI	0.7976309921288652	4.913938066426204e-10
ANGP2	0.9270827724369889	3.558224711215828e-6
RAB7A	-1.0107561953558055	7.9485246314458e-6
PAQR3	1.6234770892465964	4.6271403501438767e-7
SYT17	1.58972350131206	3.808857295997654e-4
CAH4	-1.4992621932621084	5.100493162542502e-8
C4BPA	0.8025674258833655	4.27671109742195e-21
SX18A	0.8803613512401972	2.5598236838103366e-17
MOT12	-0.7712904271378416	2.2031509708816765e-8
S43A3	-1.278001698714403	9.745452883372399e-25
AT8A2	1.490249642885971	9.12300480241e-18
CNN3	0.9664531342730266	2.7567191784280347e-48
CBY1	0.7502435544787824	3.124734425966115e-6
NCKX2	2.2770078238841625	1.591828926056373e-5
ILDR1	-1.2390324946710058	6.968198955484345e-36
USPL1	-2.667776578835233	6.14707273705223e-4
CAN2	-1.0747750894210288	3.8757056128140516e-41
YM012	-1.520812727426251	2.5218887977027084e-9
C1QC	1.4471107982055469	1.4805943124379577e-32
KMT2D	-2.4351353357514025	8.179652700882275e-7
GDIR2	1.2679670971332144	3.359457937540215e-5
SOX4	1.1050848437299028	1.9523624601229477e-28
PPM1H	-1.1748399735049004	1.8397369826677546e-14
AT2L1	-0.7544529808745543	2.387491068170693e-8
SDC3	0.8640830534280465	1.609909680316027e-11
RAC1	-0.9661220950320872	8.409544817225624e-16
S47A1	3.5109114276076867	2.2101572678295435e-6
NLRP3	-1.1669075460788583	1.8108409904655727e-5
IF	-0.8894747081300132	2.297529219473208e-58
PLEK2	-0.9713769519203422	3.693056182321809e-13
TKN1	1.5970009249458654	7.869083834535856e-41
G3ST1	1.9348255725356314	9.859269778356382e-6
ZP3	2.1314919331750866	4.991128044262391e-5
AGRA3	0.8008812415066154	8.777657921902111e-13
GALT4	-0.809207183653393	6.152125129878075e-22
NCAM1	2.0615879084353144	5.672414368099881e-7
CD276	0.7654901550852328	2.472031716944197e-14
TINAL	1.3509111339503868	2.2214585551244936e-13
SLAF7	-1.3144602915729715	4.1099120477307365e-13
TRI25	-1.162285190076695	8.232577545527622e-44
AHNK	-1.6614430964768907	2.912701411324859e-26
