log2FoldChange,padj,RNEA_geneName,sig,centralNode,DE,TF,filteredNetwork
-0.8373126200750237,4.447227288923479e-14,ELN,TRUE,FALSE,downregulated,FALSE,TRUE
-1.0985243700111817,6.81090608263271e-16,EMX2,TRUE,FALSE,downregulated,FALSE,FALSE
1.0927081846573583,1.639261455397086e-64,ENDOU,TRUE,FALSE,upregulated,FALSE,FALSE
1.477543517184958,2.2001413270870247e-15,ENPP2,TRUE,FALSE,upregulated,FALSE,FALSE
4.869452867097987,1.1464727088498907e-14,EPHB2,TRUE,FALSE,upregulated,FALSE,TRUE
0.9093884917024908,2.9454115228299545e-13,EPHB3,TRUE,FALSE,upregulated,FALSE,TRUE
0.8877177015230431,1.719798072864711e-4,EPO,TRUE,FALSE,upregulated,FALSE,TRUE
-0.01455047428833592,0.14151123332872137,ERG,FALSE,FALSE,RNEA_addition,TRUE,FALSE
-0.8558049235030382,3.4714158100434774e-25,ERN1,TRUE,FALSE,downregulated,FALSE,FALSE
1.7219817496019196,1.4687106280971356e-25,ETV5,TRUE,FALSE,upregulated,TRUE,FALSE
-1.2492293646592958,5.044248779329773e-53,EVPL,TRUE,FALSE,downregulated,FALSE,FALSE
1.490515685067659,2.503326602173948e-20,FBLN1,TRUE,FALSE,upregulated,FALSE,FALSE
-1.7829342426112669,1.8296000655593977e-14,FBN2,TRUE,FALSE,downregulated,FALSE,TRUE
1.2576620647735406,2.3426022596818708e-8,FGF10,TRUE,FALSE,upregulated,FALSE,TRUE
-0.8633769890515395,2.445841981989315e-7,FGF13,TRUE,FALSE,downregulated,FALSE,FALSE
3.5655319812198125,2.6947459579468486e-7,FGF20,TRUE,FALSE,upregulated,FALSE,FALSE
2.341013655294744,7.162839421304698e-42,FGF3,TRUE,FALSE,upregulated,FALSE,TRUE
1.6054222120316648,4.327212085534234e-7,FGF9,TRUE,FALSE,upregulated,FALSE,FALSE
0.972287035440861,5.418307979758312e-55,FGFR1,TRUE,FALSE,upregulated,FALSE,TRUE
-1.1603024351834683,3.6755608201635457e-10,FGFR3,TRUE,FALSE,downregulated,FALSE,FALSE
1.393835058737159,1.6686381055796757e-6,FHL2,TRUE,FALSE,upregulated,FALSE,TRUE
0.211889074661885,0.11398370443793385,FOS,FALSE,FALSE,RNEA_addition,TRUE,FALSE
1.6432701057256616,6.736157436890577e-71,FOXA2,TRUE,FALSE,upregulated,TRUE,TRUE
1.565300373820826,6.8516796427834424e-12,FOXC2,TRUE,FALSE,upregulated,TRUE,FALSE
1.9343438314538601,4.848355457039596e-10,FOXD1,TRUE,FALSE,upregulated,TRUE,FALSE
1.8651345648384117,9.717098608315458e-16,FOXF2,TRUE,FALSE,upregulated,TRUE,FALSE
2.8215785371522375,1.7078656150849952e-6,FOXL1,TRUE,FALSE,upregulated,TRUE,TRUE
1.390667105379099,1.7624542304085647e-4,FOXL2,TRUE,FALSE,upregulated,TRUE,FALSE
-1.0628055164968677,2.2447160087977387e-31,FOXQ1,TRUE,FALSE,downregulated,TRUE,TRUE
-1.306225299468932,3.1840377374162794e-10,FRK,TRUE,FALSE,downregulated,FALSE,FALSE
1.0222516800038641,5.4742202411143876e-39,FSCN1,TRUE,FALSE,upregulated,FALSE,FALSE
0.9159298447350631,1.271474553481941e-7,FYN,TRUE,FALSE,upregulated,FALSE,FALSE
-0.8452994662787008,7.40936315990842e-4,G6PC,TRUE,FALSE,downregulated,FALSE,TRUE
-0.9382758624404377,5.904602839712983e-17,GBP1,TRUE,FALSE,downregulated,FALSE,FALSE
2.896583241899628,3.554944927259065e-22,GBX2,TRUE,FALSE,upregulated,FALSE,FALSE
-1.2123003871796314,8.605673460601377e-36,GGT1,TRUE,FALSE,downregulated,FALSE,TRUE
0.6062237729354031,0.2400454735989331,GLI1,FALSE,FALSE,RNEA_addition,FALSE,TRUE
1.5008766760581411,2.3359110537888626e-46,GLI2,TRUE,FALSE,upregulated,FALSE,TRUE
0.2527624596621692,6.060260010074801e-23,GLI3,FALSE,FALSE,RNEA_addition,FALSE,TRUE
-0.8737984699469071,2.8064848068149246e-9,GPR39,TRUE,FALSE,downregulated,FALSE,FALSE
1.2137823029898782,1.857889932877903e-5,GRIP1,TRUE,FALSE,upregulated,FALSE,FALSE
0.7547335479943964,7.807772568871105e-7,HBB,TRUE,FALSE,upregulated,FALSE,TRUE
-1.1061006540853646,5.740486380599548e-20,HBEGF,TRUE,FALSE,downregulated,FALSE,FALSE
-0.9911765167531678,1.2753452845750046e-28,HCK,TRUE,FALSE,downregulated,FALSE,FALSE
0.24467873004112453,0.049864200643951966,HDAC2,FALSE,FALSE,RNEA_addition,FALSE,TRUE
-1.099837878980877,1.2310150143893059e-45,HEXB,TRUE,FALSE,downregulated,FALSE,FALSE
1.0382857630490185,5.605830315705699e-34,HEY1,TRUE,FALSE,upregulated,FALSE,TRUE
0.8862026288596401,1.8411300005460684e-5,HEY2,TRUE,FALSE,upregulated,FALSE,FALSE
1.2187396656967566,3.873188475022915e-6,HIC1,TRUE,FALSE,upregulated,FALSE,FALSE
1.3166641918654156,1.0471001199803767e-4,HMGA1,TRUE,FALSE,upregulated,FALSE,TRUE
-0.2629517094445751,0.12940088436983282,HSF1,FALSE,FALSE,RNEA_addition,TRUE,FALSE
2.4776044470778484,3.522467329113745e-5,HSPB1,TRUE,FALSE,upregulated,FALSE,TRUE
0.9531525411763483,1.2186928962256166e-97,ID1,TRUE,FALSE,upregulated,FALSE,TRUE
-0.343779669735866,1.6621679623851392e-15,ID2,FALSE,FALSE,RNEA_addition,FALSE,TRUE
1.218601883397357,5.371817478391319e-25,ID4,TRUE,FALSE,upregulated,FALSE,TRUE
-0.8894747081300132,2.297529219473208e-58,IF,TRUE,FALSE,downregulated,FALSE,FALSE
-0.9886758787672849,2.6470286346768947e-17,IFI6,TRUE,FALSE,downregulated,FALSE,FALSE
0.9465304793106274,1.9232221086615194e-4,IGF2,TRUE,FALSE,upregulated,FALSE,TRUE
0.9521127077010637,3.6996406302176895e-6,IGK,TRUE,FALSE,upregulated,FALSE,FALSE
1.770452139381309,4.0376622881198824e-11,IHH,TRUE,FALSE,upregulated,FALSE,TRUE
0.8322782779783006,0.09268424474257878,IL1B,FALSE,FALSE,RNEA_addition,FALSE,TRUE
1.6351520813009952,6.995648961296118e-10,IL8,TRUE,FALSE,upregulated,FALSE,TRUE
1.8241195927916145,3.574694956702873e-17,INHBA,TRUE,FALSE,upregulated,FALSE,FALSE
