"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0022408",4.80403525089383e-05,2.93704156479218,8.01905071521456,21,147,"negative regulation of cell-cell adhesion",0.000123245584013182
"GO:0030206",4.91479951769416e-05,7.76734857601284,1.4183355006502,8,26,"chondroitin sulfate biosynthetic process",0.000125736954327676
"GO:0030336",4.93401356661771e-05,2.69794849751866,9.87379713914174,24,181,"negative regulation of cell migration",0.000125878850272989
"GO:0060840",4.9766519880714e-05,3.76326282940361,4.63686605981795,15,85,"artery development",0.000126615924889883
"GO:0060710",5.00380421425012e-05,21.7880695443645,0.490962288686606,5,9,"chorio-allantoic fusion",0.000126956024278908
"GO:0010631",5.62110414430922e-05,2.37015495320501,13.8560468140442,30,254,"epithelial cell migration",0.000142226288926066
"GO:0048839",5.71372253505892e-05,2.55149651496515,11.2375812743823,26,206,"inner ear development",0.000144173656295596
"GO:0060603",5.80928795907555e-05,9.40236686390532,1.09102730819246,7,20,"mammary gland duct morphogenesis",0.000145576758693489
"GO:0040036",5.80928795907555e-05,9.40236686390532,1.09102730819246,7,20,"regulation of fibroblast growth factor receptor signaling pathway",0.000145576758693489
"GO:0001838",5.81674779578761e-05,3.5142162818955,5.2369310793238,16,96,"embryonic epithelial tube formation",0.000145576758693489
"GO:0010632",6.08987483578746e-05,2.59629281688105,10.6375162548765,25,195,"regulation of epithelial cell migration",0.000151999315007053
"GO:0050769",6.20412059944919e-05,2.53722316228687,11.2921326397919,26,207,"positive regulation of neurogenesis",0.000154432299245749
"GO:2000242",6.24719603611463e-05,6.29609638554217,1.85474642392718,9,34,"negative regulation of reproductive process",0.000155085378686296
"GO:0035567",6.27249488289673e-05,3.89979797979798,4.20045513654096,14,77,"non-canonical Wnt signaling pathway",0.000155294832987846
"GO:0090132",6.50282208605153e-05,2.3488519640767,13.9651495448635,30,256,"epithelium migration",0.000160565660623417
"GO:0017015",6.57953119637224e-05,3.65822208737864,4.74596879063719,15,87,"regulation of transforming growth factor beta receptor signaling pathway",0.000162025353793017
"GO:0071711",6.65232142180991e-05,7.35803407435556,1.47288686605982,8,27,"basement membrane organization",0.000163381014119651
"GO:0014706",6.76225535215647e-05,2.47196202047015,12.001300390117,27,220,"striated muscle tissue development",0.000165639286684471
"GO:0072006",7.1352668825116e-05,3.03978935698448,7.03712613784135,19,129,"nephron development",0.000174312488031649
"GO:0023057",7.32125763006381e-05,1.60514152514153,59.460988296489,89,1090,"negative regulation of signaling",0.000177912355601287
"GO:0010648",7.32125763006381e-05,1.60514152514153,59.460988296489,89,1090,"negative regulation of cell communication",0.000177912355601287
"GO:0065008",7.46058417474071e-05,1.44095742476975,116.248959687906,155,2131,"regulation of biological quality",0.000180821000656216
"GO:0060711",8.00619497617788e-05,6.05352177942539,1.9092977893368,9,35,"labyrinthine layer development",0.000193028941703137
"GO:0022617",8.00619497617788e-05,6.05352177942539,1.9092977893368,9,35,"extracellular matrix disassembly",0.000193028941703137
"GO:0090130",8.06042076308588e-05,2.31759517653473,14.1288036410923,30,259,"tissue migration",0.000193828917044441
"GO:0050922",8.18271635996351e-05,5.30321307160873,2.34570871261378,10,43,"negative regulation of chemotaxis",0.000195747578377309
"GO:0048701",8.18271635996351e-05,5.30321307160873,2.34570871261378,10,43,"embryonic cranial skeleton morphogenesis",0.000195747578377309
"GO:0060343",8.30543183744457e-05,8.73016826923077,1.14557867360208,7,21,"trabecula formation",0.000198168464307939
"GO:0010692",8.467401677211e-05,11.6302521008403,0.818270481144343,6,15,"regulation of alkaline phosphatase activity",0.000200991673832766
"GO:0010935",8.467401677211e-05,11.6302521008403,0.818270481144343,6,15,"regulation of macrophage cytokine production",0.000200991673832766
"GO:0030178",8.82034419628054e-05,2.98509364111498,7.1462288686606,19,131,"negative regulation of Wnt signaling pathway",0.000208308451055785
"GO:0010001",8.82087903493554e-05,2.65061514801999,9.60104031209363,23,176,"glial cell differentiation",0.000208308451055785
"GO:0006027",8.8710145549837e-05,6.98965102286402,1.52743823146944,8,28,"glycosaminoglycan catabolic process",0.000208956634402557
"GO:0043542",9.2334206937547e-05,2.71123246398644,9.00097529258778,22,165,"endothelial cell migration",0.000216938277013982
"GO:0009100",9.44681049192989e-05,2.06861821496136,19.8566970091027,38,364,"glycoprotein metabolic process",0.000221387085574235
"GO:0072498",9.55761527468742e-05,17.4292565947242,0.545513654096229,5,10,"embryonic skeletal joint development",0.000223415321522516
"GO:0090263",9.82845383194563e-05,3.51116504854369,4.90962288686606,15,90,"positive regulation of canonical Wnt signaling pathway",0.000229164708334732
"GO:2000146",9.88186638273388e-05,2.56571109871723,10.3102080624187,24,189,"negative regulation of cell motility",0.000229828256022674
