gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MYH4.1	447.568056149267	6.46395844113898	1.09992453029343	47.1185042025696	1.4406615049952e-09	1.06261804019044e-08
PRVA.1	3535.83992153186	6.05140321700071	0.891029155366486	64.331453030028	3.55870495758554e-13	3.48693850037431e-12
MYH4.2	31.4279495586261	5.82866904817691	1.29329322622873	29.0325882351186	7.69912853792837e-06	3.80973689857723e-05
PRVA	719.075561803698	5.36289629612113	0.93124714742769	43.1057047850438	9.83822190753018e-09	6.65961903116981e-08
DUPD1	6.39349018441134	5.35836862151041	0.90698793277825	49.4328547252418	4.74244844543268e-10	3.68255573096637e-09
ACTC.1	2758.62131820106	5.33771251336218	0.97777320648805	36.1254427629124	2.72674594649565e-07	1.59407359477142e-06
MYOZ1	91.8899471452273	5.17539658581574	1.11581499961585	27.4949336302417	1.57858673704695e-05	7.49853197098185e-05
AT2A1	300.526850187297	5.1583399644845	0.757183468895723	62.1727106246828	1.01318281228105e-12	9.61361620704365e-12
MLRS	370.746975505642	5.11828253439133	0.913327753460977	45.8732249988098	2.61708872959156e-09	1.88137825300136e-08
TNNI2	227.383647501059	5.10566724958885	1.0169471553222	34.0647649343625	7.22742162838124e-07	4.0518567041163e-06
RL3	17.5762677613469	4.9890280737474	0.741231192055111	68.1864726200512	5.47922356703573e-14	5.78341494437806e-13
F16P2	5.54519633809055	4.9794259840353	1.09152421129777	24.1019903215905	7.62013962154765e-05	0.000325602361820824
MPSF	17.0548493158205	4.91371704490056	0.7468388423749	62.3144791687413	9.45935530684581e-13	8.99785164520044e-12
FOG2.3	4.82354160600524	4.87038546954566	1.01681905163882	36.5196022605675	2.26214754097222e-07	1.3362473220602e-06
EPHB2	6.90048417768902	4.86945286709799	0.66301376844985	76.5371649354902	9.42347381726993e-16	1.14647270884989e-14
AT1B4	4.60732331155222	4.86872151067164	0.903955047251381	39.6449930309605	5.125449322967e-08	3.24264123706039e-07
DS13B	5.54957670548838	4.80354472439435	0.776504985287688	57.6227105542385	9.15733510821226e-12	8.1626682487588e-11
OBSCN	5.36687891592429	4.72792077282319	0.795769366227176	50.8672655308655	2.37941660155554e-10	1.89179070580818e-09
LDB3	24.7225790439309	4.72560971432252	1.06359211331479	27.627605531233	1.48391232795571e-05	7.06635910994464e-05
SMYD1.1	4.13181493150179	4.71015907511442	1.13405026871984	23.9407740856682	8.20880420162473e-05	0.000349085157837917
SMYD1	5.42054259932274	4.69795243370263	0.960916093646602	38.4499119292944	9.04888969883746e-08	5.57282466980252e-07
NDKA	1002.14563116174	4.6703592711364	0.91656811216476	35.9194938869601	3.00617004227274e-07	1.74807874228664e-06
DESM	79.3812417160447	4.6564629153187	1.02966144149439	26.7592794422601	2.22353671181603e-05	0.00010362737324709
NEUV	244.57710098633	4.64596718846728	0.821853058545761	65.2676573426483	2.25987590791127e-13	2.24447766194562e-12
TECR	8.54724463948926	4.54635187827299	0.56603385619782	92.0898847292805	4.73640196143213e-19	7.3020093356042e-18
MYOM2	26.11661371147	4.48839613739641	0.469781364879818	141.043523990123	1.68743136226463e-29	4.62833996406097e-28
ADIPO	17.501630898128	4.35664763309876	0.66847495858012	64.1531799446756	3.88002663055386e-13	3.79206944959303e-12
KCRM.2	636.551832092976	4.34799082242104	0.817614744046351	38.9492499516217	7.13664002967706e-08	4.44189815592548e-07
TNNT3.1	349.551915665028	4.2296375142786	0.823989862293206	38.5138381748318	8.7780832491182e-08	5.41073556696552e-07
ACTN3	83.7029345242714	4.22928878292229	0.595802369842073	75.3304550949877	1.69636806038794e-15	2.02518823433989e-14
FXI1C	41.8609946824262	4.1830799683841	0.896703459601915	37.949264602624	1.14789110047553e-07	6.97715380968149e-07
CAV2.1	25.3183379587009	4.17638935119939	0.715950097957107	50.7593367667558	2.5062212057112e-10	1.98744640173109e-09
TITIN.1	104.16836200466	3.99841692325654	0.806079835882099	35.5073548942227	3.6539474178169e-07	2.11032698979954e-06
SRCA	13.6638068111798	3.91924862075635	0.653689560387834	57.2365574305264	1.10356848076783e-11	9.80273685325111e-11
NEBU	56.5269553585335	3.874524350226	0.534810073080974	74.8380854617921	2.15606953663175e-15	2.54815785777212e-14
NR0B1	4.61709448042334	3.82777969005426	0.70776921933875	40.2979736967166	3.75574210477451e-08	2.41620987446717e-07
NTM1B	5.03483888943359	3.79474382575743	0.945667520407561	25.0512022510588	4.91311720351695e-05	0.000216951121753684
MYCD.1	6.5953120784607	3.78793879534533	0.573196628240697	62.5175793238748	8.57290887852145e-13	8.19540102347101e-12
ADT1	34.7029036653436	3.77232167214969	0.48947159509804	87.2835927613157	4.96993047958944e-18	7.09515258129826e-17
DRS7C	5.94211631778763	3.77056504960936	0.789234618265942	32.6723241874969	1.39395227888815e-06	7.50419965824239e-06
NRX1A	5.40300773267874	3.72522084923624	0.708433614173233	50.268477880852	3.17357362976878e-10	2.50110939256494e-09
ODF3A	7.42163691230704	3.69816079506476	0.693736003337149	41.7268288777804	1.90043151083786e-08	1.2575055889915e-07
CYYR1	13.2132226667874	3.68968309630656	0.482664484276966	121.649753654086	2.37276589487112e-25	5.18048245663373e-24
MYPC1	5.61655020512836	3.61125053428767	0.768851238965806	31.5230733206407	2.39422760249927e-06	1.25449001904318e-05
FGF20	5.7465547257003	3.56553198121981	0.723133712272295	40.0513260903849	4.22391084816367e-08	2.69474595794685e-07
UN45B	5.84634544931518	3.55448373005353	0.675469393936461	37.6069731709953	1.3504894439731e-07	8.13429395513905e-07
S47A1	6.36202047910488	3.51091142760769	0.717665958681256	35.4073086045975	3.83113180761305e-07	2.21015726782954e-06
S26A2.1	833.541208398475	3.47353961976187	0.240710477834395	1263.24805335226	3.09254664746901e-272	2.36657132197566e-268
MYOZ2.1	9.87489865236489	3.4652168855439	0.586566815588749	54.5795696668033	3.97948322965062e-11	3.37991070087696e-10
TXLNB	9.31047624562633	3.46277068525075	0.661445934598594	38.2143785526824	1.01205589461331e-07	6.19580618682271e-07
ANK1.1	16.8050984371034	3.38039239805644	0.366356847806257	124.105218087296	7.08920224800383e-26	1.59091261591934e-24
RSPO2	12.6049229232129	3.28774912273438	0.538622891532938	114.570406591831	7.70744846391229e-24	1.5582892832256e-22
M2GD.2	4.27748748945403	3.27266068499789	0.832869728558704	26.6191155918104	2.37333315212103e-05	0.000110306297884034
PITX3	166.033482174798	3.26023990684076	0.265627966722212	298.02939429997	2.8831890164824e-63	4.5965841559649e-61
MYL1	1423.881061933	3.24988968521983	0.4123874077008	92.0107786347715	4.92335254958233e-19	7.56545288869052e-18
ANGL3	58.51683941424	3.24750032342085	0.417785925255486	180.848017100945	4.90244030647823e-38	2.05005051613796e-36
PPR1C	15.6982667738027	3.20370695839199	0.504918888271117	73.1323582967648	4.94660459793474e-15	5.67950362876152e-14
TPM1.1	1320.89254179284	3.20245162078868	0.436876239193061	81.3320352969401	9.09399953713424e-17	1.18858806930691e-15
WFKN2	8.58368415207	3.18369322483962	0.528617716153428	66.777711342079	1.08598030579897e-13	1.10658645674123e-12
CCG1	5.96519206450605	3.17169629397451	0.780243511063771	28.6326827998625	9.28211547800079e-06	4.54892018542434e-05
C1T9A	5.94925762487632	3.16146392863027	0.607439412223024	33.517604461348	9.35746774298463e-07	5.16466079359466e-06
ASCL5	14.5437107681803	3.14868651182212	0.371491435762279	126.149171559846	2.59263425457647e-26	5.97594386540556e-25
SOX12	10.1474676170304	3.1248215141628	0.540564269836651	65.6580678746026	1.86991261086252e-13	1.87188187812374e-12
ACTM	34.7805821579654	3.07253060813993	0.422879406700644	83.9247845592336	2.56479726405193e-17	3.50171473026894e-16
SHH	30.0838630347959	3.0630229474301	0.271818829033634	222.51614667014	5.38828138996177e-47	3.76564596682031e-45
EF1A2	69.6520728116957	3.04354268212907	0.339907310583529	110.810987967638	4.88676103924798e-23	9.43151042946916e-22
RENI	12.2499740294199	3.03540181502603	0.376724010091497	76.3499457689176	1.0323539742254e-15	1.25100376686617e-14
M3KCL	4.87307784534755	3.01092273293658	0.704793154383594	26.4971690716583	2.51179716795015e-05	0.000116247522393339
GREM1.1	16.9057222770284	3.0032033598878	0.541380766656342	54.5845119494093	3.97000825865563e-11	3.37560979992913e-10
S13A4	163.680264198754	2.97810077981957	0.435533077112645	211.967787526672	1.0025318256283e-44	6.01715670244747e-43
FREM2	24.777249108644	2.96261647974183	0.33018760594255	154.240602000693	2.51097703535136e-32	7.82698646151783e-31
SMAD1.1	12.549412848304	2.94834635183695	0.593403382835814	78.2364275456971	4.11639654249935e-16	5.14297543534306e-15
PPM1K.1	7.67398609005652	2.9202095172303	0.546127133255245	41.5165179561102	2.10100368226096e-08	1.38483468376417e-07
TMOD4	59.2813500285437	2.91136612773249	0.381047495719086	82.3798781671579	5.45312740348186e-17	7.28909300526549e-16
CALC	26.8349619067275	2.90591333923852	0.525335366646366	74.054956751482	3.1569520870466e-15	3.693971841915e-14
PITX3.1	46.45938551364	2.90474005399331	0.346322322538952	173.917270820295	1.50876975874967e-36	5.84600535637057e-35
GBX2	18.5388863622927	2.89658324189963	0.427586234608759	112.849324284503	1.79547365486524e-23	3.55494492725907e-22
DAF2	8.93147870123958	2.89135452706583	0.590639536052981	28.2350196713205	1.11769585410047e-05	5.40826274012259e-05
MBP.1	550.432599124347	2.8850617241633	0.295480206670956	175.253431222677	7.794093258e-37	3.05868198240231e-35
LECA.2	164.021275789734	2.88304949257128	0.837691959098583	77.5303611085612	5.80763018756607e-16	7.18559256432488e-15
ANXA3	933.96047835054	2.88004040754744	0.208857490108475	789.694331201963	1.31093851755638e-169	2.50798925140006e-166
FA8.2	3.97463675659987	2.87252765937988	0.739031234488276	27.7297015393643	1.4149215850708e-05	6.7567472260557e-05
CAV1.1	14.7326548730295	2.85394261642036	0.465590670598669	81.7399243590793	7.4525263188233e-17	9.83283752668884e-16
TPM3.1	1247.02880777927	2.85020004867417	0.428388713728274	64.4711404656016	3.3256218230272e-13	3.26692182294167e-12
CCDC3	24.9305395263363	2.83559651447221	0.331625731164475	108.85005412017	1.28002067419378e-22	2.40672191873903e-21
MAG.3	17.7960672617149	2.82953963246921	0.364627888569371	100.478279379434	7.7807361164723e-21	1.3173027241439e-19
FOXL1	8.76394742106549	2.82157853715224	0.571324291944721	35.9702344813933	2.93478377502355e-07	1.707865615085e-06
ADCY8	5.59623369650649	2.80725187089773	0.60550202068931	32.7962370334512	1.3148914443406e-06	7.11612926295365e-06
LMOD3	3.70781446183856	2.750508438078	0.796640158239458	22.5777732713969	0.000153748669142588	0.000627332279719358
TMM88	9.28331217511858	2.74044404350883	0.650547440523561	58.6717404555056	5.51505561190728e-12	4.98570148495221e-11
TBX22	26.5708608582434	2.72523465257467	0.334305938738169	114.99846729268	6.24525664997581e-24	1.2744487070384e-22
